idempresa,Año,mes,idpozo,prod_pet,prod_gas,prod_agua,iny_agua,iny_gas,tef,tipoextraccion,tipoestado,tipopozo,fechaingreso,idusuario,empresa,sigla,formprod,profundidad,formacion,idareapermisoconcesion,areapermisoconcesion,idareayacimiento,areayacimiento,cuenca,provincia,coordenadax,coordenaday,tipo_de_recurso,proyecto,clasificacion,subclasificacion,sub_tipo_recurso,fecha_data
CGC,2018,1,155278,22.239,576.041,15.182,0.000,0.000,31.000,Surgencia Natural,Extracción Efectiva,Gasífero,2018-02-19 16:55:15.499104,357,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,CGC.SCA.CI-49,MAGA,1552,magallanes,CIEC,CAMPO INDIO ESTE - EL CERRITO ,INDI,CAMPO INDIO,AUSTRAL,Santa Cruz,-7.065.396,-5.079.621,NO CONVENCIONAL,Sin Proyecto,EXPLOTACION,DESARROLLO,TIGHT,31/01/2018
CGC,2014,1,145297,0,0,0,0,0,0,Sin Sistema de Extracción,En Estudio,Petrolífero,2014-02-17 14:52:22.668129,357,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,CGC.RN.LB.x-1,LOMO,1700,loma montosa,ATUR,ANGOSTURA,ATUR,ANGOSTURA,NEUQUINA,Rio Negro,-67.567.152,-38.389.465,NO CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,TIGHT,31/01/2014
CGC,2017,1,145297,0,0,0,0,0,0,Sin Sistema de Extracción,En Estudio,Petrolífero,2017-02-10 10:22:44.157635,357,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,CGC.RN.LB.x-1,LOMO,1700,loma montosa,ATUR,ANGOSTURA,ATUR,ANGOSTURA,NEUQUINA,Rio Negro,-67.567.152,-38.389.465,NO CONVENCIONAL,Sin Proyecto,EXPLORACION,EXPLORACION,TIGHT,31/01/2017
CGC,2016,1,72016,29.276,728.788,20.417,0.000,0.000,30.875,Surgencia Natural,Extracción Efectiva,Gasífero,2016-02-12 16:35:44.647866,357,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,PC.SC.ACI.a-24,MAGA,3125,magallanes,CIEC,CAMPO INDIO ESTE - EL CERRITO ,INDI,CAMPO INDIO,AUSTRAL,Santa Cruz,-706.718.333.333.333,-507.698.333.333.333,NO CONVENCIONAL,Sin Proyecto,EXPLOTACION,AVANZADA,TIGHT,31/01/2016
CGC,2020,1,158380,3.435,381.954,6.192,0.000,0.000,31.000,Surgencia Natural,Extracción Efectiva,Gasífero,2020-02-14 15:39:51.796939,357,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,CGC.SCA.CI.a-1003,MAGA,1600,magallanes,CIEC,CAMPO INDIO ESTE - EL CERRITO ,INDI,CAMPO INDIO,AUSTRAL,Santa Cruz,-7.066.895,-507.419,NO CONVENCIONAL,Sin Proyecto,EXPLOTACION,AVANZADA,TIGHT,31/01/2020
CGC,2019,1,134771,3.2,333.21,7.34,0,0,31,Surgencia Natural,Parado Transitoriamente,Gasífero,2019-02-06 11:07:28.955178,357,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,CGC.RN.ALH.x-2,QTUC,1459,quintuco,ATUR,ANGOSTURA,ATUR,ANGOSTURA,NEUQUINA,Rio Negro,-6.758.849.814,-3.833.160.034,NO CONVENCIONAL,GAS PLUS,EXPLORACION,EXPLORACION,TIGHT,31/01/2019
CGC,2018,1,158685,50.126,1.668.841,61.154,0.000,0.000,28.792,Surgencia Natural,Extracción Efectiva,Gasífero,2018-02-19 16:55:15.499104,357,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,CGC.SCA.EC.a-1010,MAGA,1850,magallanes,CIEC,CAMPO INDIO ESTE - EL CERRITO ,ECO,EL CERRITO OESTE,AUSTRAL,Santa Cruz,-7.018.798,-5.061.367,NO CONVENCIONAL,Sin Proyecto,EXPLOTACION,AVANZADA,TIGHT,31/01/2018
CGC,2014,1,135318,0,0,0,0,0,0,Sin Sistema de Extracción,En Estudio,Gasífero,2014-02-17 14:52:22.668129,357,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,CGC.RN.ALH.x-3,QTUC,1457,quintuco,ATUR,ANGOSTURA,ATUR,ANGOSTURA,NEUQUINA,Rio Negro,-6.759.329.858,-3.833.015.622,NO CONVENCIONAL,GAS PLUS,EXPLORACION,EXPLORACION,TIGHT,31/01/2014
CGC,2017,1,131663,27.524,655.091,20.050,0.000,0.000,31.000,Plunger Lift,Extracción Efectiva,Gasífero,2017-02-09 17:12:09.143765,357,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,PBE.SC.ACI-36,MAGA,1518,magallanes,CIEC,CAMPO INDIO ESTE - EL CERRITO ,INDI,CAMPO INDIO,AUSTRAL,Santa Cruz,-7.066.609.999,-5.075.849.999,NO CONVENCIONAL,Sin Proyecto,,,TIGHT,31/01/2017
CGC,2016,1,135319,0.33,1.481.385,0.798,0,0,31,Surgencia Natural,Extracción Efectiva,Gasífero,2016-02-12 16:58:18.909474,357,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,CGC.RN.ALH.x-4,QTUC,1551,quintuco,ATUR,ANGOSTURA,ATUR,ANGOSTURA,NEUQUINA,Rio Negro,-6.760.221.694,-3.832.307.553,NO CONVENCIONAL,GAS PLUS,EXPLORACION,EXPLORACION,TIGHT,31/01/2016
