idempresa,anio,mes,idpozo,prod_pet,prod_gas,prod_agua,iny_agua,tef,tipoextraccion,tipoestado,tipopozo,empresa,sigla,formprod,profundidad,formacion,idareapermisoconcesion,areapermisoconcesion,idareayacimiento,areayacimiento,cuenca,provincia,tipo_de_recurso,clasificacion,subclasificacion,sub_tipo_recurso,fecha_data
PAM,2024,1,163054,1.913.189,2.044.315,2.183.099,0,1.894.653,Surgencia Natural,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,PAM.Nq.M-2031,AGRI,1509,agrio,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,TIGHT,31/01/2024
PAM,2024,1,124892,0,0,0,0,0,Surgencia Natural,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,PBE.Nq.SCh-45,MULI,1987,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,CONVENCIONAL,EXPLOTACION,DESARROLLO,,31/01/2024
PAM,2024,1,42937,0,2.757.481,2.545.685,0,2.811.458,Surgencia Natural,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,PSF.Nq.SCh.x-1,MULI,1935,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,CONVENCIONAL,EXPLORACION,EXPLORACION,,31/01/2024
PAM,2024,1,144071,0,0,0,0,0,Sin Sistema de Extracción,A Abandonar,Otro tipo,PAMPA ENERGIA S.A.,PBE.Nq.LV.x-1,FIMP,1113,formación improductiva,LOVE,LOS VERTICES,LOVE,LOS VERTICES,NEUQUINA,Neuquén,CONVENCIONAL,EXPLORACION,EXPLORACION,,31/01/2024
PAM,2024,1,164156,0,7.723.304,5.256.193,0,31,Surgencia Natural,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,PAM.Nq.SCh-1002(h),VMUT,5630,vaca muerta,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,SHALE,31/01/2024
PAM,2024,1,130401,0,0,0,0,0,Sin Sistema de Extracción,En Estudio,Gasífero,PAMPA ENERGIA S.A.,YPF.Nq.VE.xp-24,FIMP,2600,formación improductiva,VET,VETA ESCONDIDA,VET,VETA ESCONDIDA,NEUQUINA,Neuquén,CONVENCIONAL,EXPLORACION,EXPLORATORIO PROFUNDO,,31/01/2024
PAM,2024,1,164364,0,5.432.393,3.508.188,0,3.066.944,Surgencia Natural,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,PAM.Nq.M-2302(h),VMUT,5535,vaca muerta,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,SHALE,31/01/2024
PAM,2024,1,133732,0,0,0,0,0,Sin Sistema de Extracción,En Estudio,Gasífero,PAMPA ENERGIA S.A.,PSF.Nq.SChNo x-1,MULI,1446,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,CONVENCIONAL,EXPLORACION,EXPLORACION,,31/01/2024
PAM,2024,1,129723,0,0,0,0,0,Surgencia Natural,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,PBE.Nq.SCh-60,MULI,1873,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,CONVENCIONAL,EXPLOTACION,DESARROLLO,,31/01/2024
PAM,2024,1,164157,0,7.683.375,9.651.701,0,31,Surgencia Natural,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,PAM.Nq.SCh.x-1001(h),VMUT,5574,vaca muerta,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,SHALE,31/01/2024
PAM,2024,1,42970,0,1.487.813,1.149.554,0,3.020.833,Surgencia Natural,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,PSF.Nq.SCh-40,MULI,1971,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,CONVENCIONAL,EXPLOTACION,DESARROLLO,,31/01/2024
PAM,2024,1,144909,2.583.647,3.306.944,1.004.415,0,2.818.472,Surgencia Natural,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,PBE.Nq.M-1038,MULI,1638,mulichinco,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,TIGHT,31/01/2024
PAM,2024,1,162539,1.410.889,2.194.689,1.233.776,0,2.210.556,Surgencia Natural,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,PAM.Nq.M-2005,MULI,1592.05,mulichinco,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,TIGHT,31/01/2024
PAM,2024,1,131399,0,0,0,0,0,Surgencia Natural,Abandonado,Gasífero,PAMPA ENERGIA S.A.,PSF.Nq.SCh-30,MULI,1914,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,TIGHT,31/01/2024
PAM,2024,1,42961,0,0,0,0,0,Surgencia Natural,En Estudio,Gasífero,PAMPA ENERGIA S.A.,PSF.Nq.SCh-26,MULI,1932,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,TIGHT,31/01/2024
