idempresa,año,mes,idpozo,prod_pet,prod_gas,prod_agua,tipoestado,tipopozo,empresa,formprod,profundidad,formacion,idareapermisoconcesion,areapermisoconcesion,idareayacimiento,areayacimiento,cuenca,provincia,tipo_de_recurso,clasificacion,subclasificacion,fecha_data
PAM,2024,1,163054,1913189.00,2044315.00,2183099.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,AGRI,1509.00,agrio,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,124892,0.00,0.00,0.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,MULI,1987.00,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,42937,0.00,2757481.00,2545685.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,MULI,1935.00,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,CONVENCIONAL,EXPLORACION,EXPLORACION,31/01/2024
PAM,2024,1,144071,0.00,0.00,0.00,A Abandonar,Otro tipo,PAMPA ENERGIA S.A.,FIMP,1113.00,formación improductiva,LOVE,LOS VERTICES,LOVE,LOS VERTICES,NEUQUINA,Neuquén,CONVENCIONAL,EXPLORACION,EXPLORACION,31/01/2024
PAM,2024,1,164156,0.00,7723304.00,5256193.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,VMUT,5630.00,vaca muerta,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,130401,0.00,0.00,0.00,En Estudio,Gasífero,PAMPA ENERGIA S.A.,FIMP,2600.00,formación improductiva,VET,VETA ESCONDIDA,VET,VETA ESCONDIDA,NEUQUINA,Neuquén,CONVENCIONAL,EXPLORACION,EXPLORATORIO PROFUNDO,31/01/2024
PAM,2024,1,164364,0.00,5432393.00,3508188.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,VMUT,5535.00,vaca muerta,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,133732,0.00,0.00,0.00,En Estudio,Gasífero,PAMPA ENERGIA S.A.,MULI,1446.00,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,CONVENCIONAL,EXPLORACION,EXPLORACION,31/01/2024
PAM,2024,1,129723,0.00,0.00,0.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,MULI,1873.00,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,164157,0.00,7683375.00,9651701.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,VMUT,5574.00,vaca muerta,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,42970,0.00,1487813.00,1149554.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,MULI,1971.00,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,144909,2583647.00,3306944.00,1004415.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,MULI,1638.00,mulichinco,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,162539,1410889.00,2194689.00,1233776.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,MULI,1592.05,mulichinco,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,131399,0.00,0.00,0.00,Abandonado,Gasífero,PAMPA ENERGIA S.A.,MULI,1914.00,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,42961,0.00,0.00,0.00,En Estudio,Gasífero,PAMPA ENERGIA S.A.,MULI,1932.00,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,162432,1783652.00,2933457.00,1022720.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,AGRI,1488.00,agrio,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,162538,1410889.00,2194689.00,1233776.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,AGRI,1592.05,agrio,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,157945,3021452.00,1632661.00,2480481.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,AGRI,1714.00,agrio,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,157946,1152977.00,6230189.00,9465444.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,MULI,1714.00,mulichinco,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,146731,0.00,0.00,0.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,MULI,1880.00,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,130387,0.00,0.00,0.00,Otras Situación Inactivo,Gasífero,PAMPA ENERGIA S.A.,QTUC,2146.00,quintuco,VET,VETA ESCONDIDA,VET,VETA ESCONDIDA,NEUQUINA,Neuquén,CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,164349,0.00,4500333.00,4475114.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,VMUT,4623.00,vaca muerta,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,162058,1137018.00,1677237.00,4788633.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,AGRI,1525.00,agrio,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,160106,0.00,0.00,0.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,AGRI,1732.00,agrio,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,126977,0.00,0.00,0.00,En Estudio,Gasífero,PAMPA ENERGIA S.A.,MULI,2012.00,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,158806,0.00,2428624.00,3702000.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,VMUT,5572.00,vaca muerta,Z060,PARVA NEGRA ESTE,PNET,PARVA NEGRA ESTE,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLORACION,EXPLORACION,31/01/2024
PAM,2024,1,158372,0.00,2053696.00,8660016.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,MULI,2051.00,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,134703,0.00,0.00,0.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,MULI,1928.00,mulichinco,SICH,SIERRA CHATA,SICH,SIERRA CHATA,NEUQUINA,Neuquén,CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,159471,0.00,0.00,0.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,QTUC,1732.00,quintuco,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
PAM,2024,1,159465,0.47,5786400.00,1863904.00,Extracción Efectiva,Gasífero,PAMPA ENERGIA S.A.,MULI,1732.00,mulichinco,GRU,EL MANGRULLO,MGR,EL MANGRULLO,NEUQUINA,Neuquén,NO CONVENCIONAL,EXPLOTACION,DESARROLLO,31/01/2024
